address_id,zipcode,street_num,streetname
1,87978,4909,Norris Highway
2,99125,8742,Nancy Field
3,97343,6773,Thompson Orchard
4,70302,915,Marie Knolls
5,67443,8483,Hensley Coves
6,90909,7376,Mark Trace
7,87978,6578,Holmes Haven
8,99125,9425,Hart Cliffs
9,34811,5393,Charles Burg
10,40180,8682,Cody Mission
11,91385,6849,Tamara Station
12,14342,1341,Jesse Summit
13,32976,2123,Deanna Falls
14,99606,6467,Carl Spurs
15,67443,5469,Lisa Port
16,07548,3872,Kimberly Ferry
17,40180,7453,Gonzalez Estates
18,18838,7168,Misty Circle
19,67443,6368,Cole Divide
20,82526,5228,Angela Plains
21,71353,6693,Johnny Fall
22,31415,9347,Nathan River
23,13667,5817,Emily Street
24,76955,1623,Medina Squares
25,99606,8190,Young Spurs
26,18838,7042,Lauren Mill
27,93645,351,Margaret Mount
28,07175,1733,Kathleen Walks
29,54508,4412,Diaz Turnpike
30,43578,2018,Jenny Bypass
31,37649,256,Mary Mountain
32,57161,2526,Forbes Pass
33,38313,9770,Williams Villages
34,47408,3269,Alex Rue
35,99125,6268,Johnson Summit
36,87628,1781,Maria Meadow
37,14342,9278,Jessica Flats
38,61711,9917,Caitlin Harbor
39,02833,5509,Reed Trafficway
40,32976,3774,Russell Neck
41,61711,2571,Williams Village
42,05374,2138,Rebecca Rapids
43,32976,9918,Sims Common
44,47408,4705,Warren Manor
45,34811,9198,Mary Inlet
46,61711,5379,Brandon Skyway
47,51271,6837,Bell River
48,97343,7912,Bruce Bypass
49,73771,5378,Natalie Green
50,68243,7099,Singh Rue
51,71353,5920,Smith Parkway
52,07175,8762,Danielle Valleys
53,67443,5343,Scott Locks
54,61711,660,Wu Throughway
55,93645,9489,Jesse Square
56,40180,4974,Reginald Rue
57,87978,4201,Ryan Row
58,34811,5732,Singh Light
59,43578,8221,Sarah Oval
60,87628,763,Johnson Road
61,68243,981,Reed Tunnel
62,87628,8772,Wood Union
63,38313,4845,Pierce Fields
64,37649,3877,Jones Plains
65,76955,997,Munoz Ridges
66,37649,5942,Wong Rest
67,18838,5821,Peterson Crossing
68,18838,1346,Charles Ways
69,37649,7362,Thompson Prairie
70,83142,4847,Brian Ranch
71,09248,9878,Moore Drive
72,19627,7982,Vincent Prairie
73,61711,7935,Saunders Pines
74,70302,1333,Tucker Crossroad
75,87628,7339,Padilla Crossroad
76,13667,4211,Ann Path
77,38313,8705,Freeman Rapid
78,76955,2096,Wood Walks
79,02833,1831,Matthews Brook
80,31144,3245,Laura Crescent
81,76955,6869,Cindy Parkways
82,34811,7049,Valdez Underpass
83,02833,2189,Clark Village
84,39305,4842,Samantha Drive
85,40180,9278,Justin Harbor
86,39305,7301,Yates Plaza
87,13667,3184,Sharon Courts
88,34811,8879,Lucas View
89,48674,6157,Ward Village
90,34811,8436,Patricia Street
91,13667,2845,Clark Keys
92,87489,263,Lucas Fords
93,19627,1726,Sanders Port
94,41428,663,Hartman Port
95,05374,7606,Felicia Plaza
96,40180,4369,Woodward Skyway
97,31415,4403,Dana Plains
98,38313,6759,Carter Fields
99,08851,4037,Wood Brook
100,31415,3684,Andrea Streets
