TransactionID,Transaction_Date,Total,BuyerEmail
1,2024-02-01,484.29,uxmddqyq@example.com
2,2024-02-01,461.62,qsdxcpvj@example.com
3,2024-02-01,137.82,wpcfyezk@example.com
4,2024-02-01,196.73,yacftvad@example.com
5,2024-02-01,283.96,enppptjq@example.com
6,2024-02-01,437.25,mrcngorh@example.com
7,2024-02-01,486.65,rssgrmwv@example.com
8,2024-02-01,377.32,yacftvad@example.com
9,2024-02-01,415.44,rfgpwkuw@example.com
10,2024-02-01,254.88,cmbcdlmi@example.com
11,2024-02-01,136.45,krjpemkb@example.com
12,2024-02-01,46.44,wfqmjars@example.com
13,2024-02-01,23.72,rhyvbreo@example.com
14,2024-02-01,97.37,cyadiyad@example.com
15,2024-02-01,115.29,kchslcvs@example.com
16,2024-02-01,91.33,wfqmjars@example.com
17,2024-02-01,430.07,nvgzmqar@example.com
18,2024-02-01,450.1,zgvefeqc@example.com
19,2024-02-01,455.96,irclsarv@example.com
20,2024-02-01,344.21,lldvchda@example.com
21,2024-02-01,211.76,cazgmgff@example.com
22,2024-02-01,160.84,ffkxxabb@example.com
23,2024-02-01,47.52,cmbcdlmi@example.com
24,2024-02-01,384.88,ooaguvva@example.com
25,2024-02-01,266.98,lldvchda@example.com
26,2024-02-01,127.63,nvgzmqar@example.com
27,2024-02-01,403.78,pjvxakry@example.com
28,2024-02-01,203.58,kchslcvs@example.com
29,2024-02-01,173.85,gwbyxbur@example.com
30,2024-02-01,128.94,gwbyxbur@example.com
31,2024-02-01,495.43,cpipcxfz@example.com
32,2024-02-01,260.08,pcvxvwxo@example.com
33,2024-02-01,21.42,losqcvgz@example.com
34,2024-02-01,327.77,rrrwnggn@example.com
35,2024-02-01,282.49,nvgzmqar@example.com
36,2024-02-01,125.18,bcsjolvb@example.com
37,2024-02-01,276.11,rhyvbreo@example.com
38,2024-02-01,224.13,bcsjolvb@example.com
39,2024-02-01,45.32,hobtajwf@example.com
40,2024-02-01,200.41,hobtajwf@example.com
41,2024-02-01,328.76,cpipcxfz@example.com
42,2024-02-01,93.2,gszjuewd@example.com
43,2024-02-01,21.94,toruxaqr@example.com
44,2024-02-01,495.65,mrcngorh@example.com
45,2024-02-01,126.89,losqcvgz@example.com
46,2024-02-01,453.46,wpcfyezk@example.com
47,2024-02-01,42.8,vcsqgwfr@example.com
48,2024-02-01,231.17,whyiewue@example.com
49,2024-02-01,497.48,evkydtkk@example.com
50,2024-02-01,118.76,ukdsnhgq@example.com
51,2024-02-01,260.64,rhyvbreo@example.com
52,2024-02-01,377.52,toruxaqr@example.com
53,2024-02-01,103.54,enppptjq@example.com
54,2024-02-01,69.61,toruxaqr@example.com
55,2024-02-01,433.96,toruxaqr@example.com
56,2024-02-01,424.92,whyiewue@example.com
57,2024-02-01,229.16,whyiewue@example.com
58,2024-02-01,293.74,rfgpwkuw@example.com
59,2024-02-01,318.75,giwbnymu@example.com
60,2024-02-01,409.52,gamdmdsb@example.com
61,2024-02-01,276.99,wwvbkoxt@example.com
62,2024-02-01,324.06,xbmmysco@example.com
63,2024-02-01,92.98,kchslcvs@example.com
64,2024-02-01,200.49,rfgpwkuw@example.com
65,2024-02-01,45.24,cpipcxfz@example.com
66,2024-02-01,426.41,qeyhpyuw@example.com
67,2024-02-01,275.75,vcsqgwfr@example.com
68,2024-02-01,207.35,gamdmdsb@example.com
69,2024-02-01,420.33,gwbyxbur@example.com
70,2024-02-01,154.08,irclsarv@example.com
71,2024-02-01,332.31,prtweflj@example.com
72,2024-02-01,74.64,zcuswnjx@example.com
73,2024-02-01,263.62,cpipcxfz@example.com
74,2024-02-01,329.63,yacftvad@example.com
75,2024-02-01,117.06,qeyhpyuw@example.com
76,2024-02-01,308.98,giwbnymu@example.com
77,2024-02-01,269.61,qsdxcpvj@example.com
78,2024-02-01,105.35,ocouvidu@example.com
79,2024-02-01,86.91,wmdoraxa@example.com
80,2024-02-01,120.62,gamdmdsb@example.com
81,2024-02-01,96.24,cpipcxfz@example.com
82,2024-02-01,370.59,wwvbkoxt@example.com
83,2024-02-01,297.08,ihflwqux@example.com
84,2024-02-01,345.39,nvgzmqar@example.com
85,2024-02-01,135.91,ihflwqux@example.com
86,2024-02-01,156.55,zgvefeqc@example.com
87,2024-02-01,195.0,siclzzoe@example.com
88,2024-02-01,475.89,krjpemkb@example.com
89,2024-02-01,213.53,bigzrtyl@example.com
90,2024-02-01,159.98,pnfkpppg@example.com
91,2024-02-01,237.32,ukdsnhgq@example.com
92,2024-02-01,26.08,zdkxvzcb@example.com
93,2024-02-01,40.32,dxgssbwf@example.com
94,2024-02-01,143.06,rrrwnggn@example.com
95,2024-02-01,121.97,whyiewue@example.com
96,2024-02-01,150.43,toruxaqr@example.com
97,2024-02-01,481.76,gwbyxbur@example.com
98,2024-02-01,157.48,bigzrtyl@example.com
99,2024-02-01,192.3,mrcbrkxj@example.com
100,2024-02-01,351.84,nvgzmqar@example.com
